ts_entry,year,direction,age,pnl_ct,pnl_usd,contracts,won,mae,mfe,score,flags,size_ticks,adx,atr_ratio,entry_hour,adx_regime,news,f1,f2,f3,n_imp_1m,n_ret_1m,des
2019-05-06 13:40:00-04:00,2019,long,2,-2.34,-11.7,5,False,3.0,7.75,4,age|adx20|fresh|react,23.0,24.990064758354663,0.7951194712760549,12,neutral,False,0.39893617021276595,0.1999505336715673,1.3870747947917519,15,5,
2019-05-06 14:05:00-04:00,2019,long,3,27.660000000000004,138.3,5,True,0.0,22.0,4,age|adx20|size|fresh,9.0,24.87113166798068,0.7555402457228155,13,neutral,False,0.5023584905660378,0.15288730255648575,2.290306853598432,15,10,
2019-05-06 15:05:00-04:00,2019,long,2,-8.84,-44.2,5,False,7.25,3.75,5,age|adx20|size|fresh|react,19.0,65.67561084657235,1.121469319604842,14,trending,False,0.7957860615883307,0.44230895984133367,0.58710224491883,15,5,
2019-05-07 10:40:00-04:00,2019,short,0,-4.34,-143.22,33,False,5.25,40.0,7,short|age|ema20|adx20|size|fresh|react,17.0,66.30660787896907,1.5455309610535164,9,trending,False,,,,15,0,
2019-05-07 13:35:00-04:00,2019,short,2,-2.34,-23.4,10,False,4.75,19.0,6,short|age|adx20|size|fresh|react,22.0,20.86905227583968,0.8812574963701786,12,neutral,False,1.3178593148185687,0.3772567070827136,0.9270797486183086,15,5,
2019-05-08 15:20:00-04:00,2019,long,0,-2.34,-23.4,10,False,0.0,8.0,6,age|adx20|size|fresh|bos|react,12.0,24.102362028644244,0.9090909090909091,14,neutral,False,,,,15,0,
2019-05-08 15:55:00-04:00,2019,short,0,-7.840000000000001,-156.8,20,False,2.25,12.5,7,short|age|adx20|size|fresh|bos|react,37.0,31.57518476023267,1.1046580538105961,14,trending,False,,,,15,0,
2019-05-09 10:35:00-04:00,2019,short,2,-15.34,-153.4,10,False,11.0,14.5,6,short|age|ema20|adx20|size|fresh,25.0,85.09375367343446,1.496437054631829,9,trending,False,0.7294445791899102,0.18650693794978185,1.3747234833270634,15,5,
2019-05-09 12:30:00-04:00,2019,long,0,57.660000000000004,288.3,5,True,0.0,44.75,4,age|fresh|bos|react,72.0,13.618876010705948,0.8788685350451437,11,choppy,False,,,,15,0,
2019-05-09 14:25:00-04:00,2019,long,1,-2.34,-11.7,5,False,1.5,8.75,3,age|adx20|fresh,23.0,37.90425271362046,0.8441891476048825,13,trending,False,,,,15,0,
2019-05-09 15:45:00-04:00,2019,long,3,-18.34,-91.7,5,False,8.0,7.5,3,age|adx20|fresh,43.0,28.09984517525177,0.9886439545758183,14,trending,False,0.6936781609195403,0.19461726290054185,1.1749583994684485,15,10,
2019-05-10 10:35:00-04:00,2019,short,0,71.66,716.6,10,True,0.0,49.25,6,short|age|ema20|adx20|fresh|bos,41.0,37.04578887028008,1.1536112807416865,9,trending,True,,,,15,0,
2019-05-10 11:40:00-04:00,2019,short,2,-2.34,-23.4,10,False,5.25,26.25,6,short|age|ema20|adx20|fresh|react,44.0,65.67140798607193,1.098648259994248,10,trending,True,1.1670886075949367,0.49963219728755964,1.352357056423666,15,5,
2019-05-10 13:55:00-04:00,2019,long,1,-2.34,-11.7,5,False,2.25,14.75,3,age|adx20|fresh,42.0,72.05438596768147,0.8281114431697676,12,trending,True,,,,15,0,
2019-05-13 09:50:00-04:00,2019,short,0,115.66000000000001,2428.86,21,True,0.0,66.5,7,short|age|ema20|adx20|size|fresh|react,34.0,47.45124040413997,1.9211051751119748,8,trending,False,,,,15,0,
